algorithm	nb_random_walks	timebudget	nb_visited_subgroups	nb_candidates_subgroups	nb_patterns	sim_score_1	f1_score	precision	recall	timespent_init	timespent	timespent_total
DSC+CLOSED+UB2	30	36000	13170178.0	13170178.0	6046	1.0	1.0	1.0	1.0	7.99	4202.32	4216.3
DSC+SamplingPeers+RandomWalk	30	105.05799999999999	94667.0	105051.0	1421	0.40638953906580433	0.454077475821467	0.6459905575596072	0.35007577008140234	8.06	105.06	118.95
DSC+SamplingPeers+RandomWalk	30	210.11599999999999	199611.0	221278.0	2024	0.4945153324681375	0.5288271160985611	0.6833432111773664	0.4313020300355408	8.06	210.13	266.29
DSC+SamplingPeers+RandomWalk	30	420.23199999999997	407556.0	451958.0	2741	0.5606892082455842	0.5817744585475011	0.7038354802211956	0.495792759108113	8.06	420.23	534.97
DSC+SamplingPeers+RandomWalk	30	840.4639999999999	825385.0	914356.0	3784	0.6356897954427495	0.6440203005576429	0.7113097868945962	0.5883616367173462	8.06	840.51	1034.68
DSC+SamplingPeers+RandomWalk	30	1260.696	1241710.0	1375819.0	4398	0.6672047441561411	0.6712351629703786	0.7165706717083692	0.6312948286128564	8.06	1260.7	1559.36
DSC+SamplingPeers+RandomWalk	30	1680.9279999999999	1659354.0	1838432.0	4802	0.6851302854881371	0.6873336305706457	0.7219029686112909	0.6559237978339221	8.06	1680.95	2098.79
DSC+SamplingPeers+RandomWalk	30	2101.16	2080677.0	2305015.0	5128	0.6975573429852866	0.698693316106668	0.7226281575164846	0.6762931787583624	8.06	2101.16	2645.86
DSC+SamplingPeers+RandomWalk	30	2521.392	2499869.0	2769350.0	5432	0.7098179638063334	0.7103056441898491	0.7258014067297888	0.6954577153842016	8.06	2521.39	3199.61
DSC+SamplingPeers+RandomWalk	30	2941.624	2914610.0	3228845.0	5680	0.7154141455223213	0.7155862673496862	0.7256390954703141	0.7058081720349579	8.06	2941.67	3769.0
DSC+SamplingPeers+RandomWalk	30	3361.8559999999998	3319833.0	3677560.0	5966	0.7220296502231668	0.7220365440275339	0.7235476993121924	0.7205316877909593	8.06	3361.86	4345.18
DSC+SamplingPeers+RandomWalk	30	3782.0879999999997	3694979.0	4093347.0	6164	0.7260008792547352	0.7260159683401254	0.7236783308125716	0.7283687569585885	8.06	3782.1	5003.69
DSC+SamplingPeers+RandomWalk	30	4202.32	4062852.0	4501072.0	6340	0.7279995625628111	0.7280868943604494	0.7228139674106373	0.7334373186436549	8.06	4202.34	5630.92
DSC+SamplingPeers+RandomWalk	30	5042.784	4812930.0	5332607.0	6639	0.7343125573344659	0.7346528813609798	0.7243291176168297	0.7452751865579832	8.06	5042.85	6644.3
